center,left,right,steering,throttle,brake,speed
IMG/center_2018_07_10_15_20_36_823.jpg,IMG/left_2018_07_10_15_20_36_823.jpg,IMG/right_2018_07_10_15_20_36_823.jpg,0,0,0,2.74E-06
IMG/center_2018_07_10_15_20_36_889.jpg,IMG/left_2018_07_10_15_20_36_889.jpg,IMG/right_2018_07_10_15_20_36_889.jpg,0,0,0,3.20E-06
IMG/center_2018_07_10_15_20_36_957.jpg,IMG/left_2018_07_10_15_20_36_957.jpg,IMG/right_2018_07_10_15_20_36_957.jpg,0,0,0,1.17E-05
IMG/center_2018_07_10_15_20_37_026.jpg,IMG/left_2018_07_10_15_20_37_026.jpg,IMG/right_2018_07_10_15_20_37_026.jpg,0,0,0,5.37E-06
IMG/center_2018_07_10_15_20_37_095.jpg,IMG/left_2018_07_10_15_20_37_095.jpg,IMG/right_2018_07_10_15_20_37_095.jpg,0,0,0,3.73E-06
IMG/center_2018_07_10_15_20_37_165.jpg,IMG/left_2018_07_10_15_20_37_165.jpg,IMG/right_2018_07_10_15_20_37_165.jpg,0,0,0,6.40E-06
IMG/center_2018_07_10_15_20_37_235.jpg,IMG/left_2018_07_10_15_20_37_235.jpg,IMG/right_2018_07_10_15_20_37_235.jpg,0,0,0,5.09E-06
IMG/center_2018_07_10_15_20_37_304.jpg,IMG/left_2018_07_10_15_20_37_304.jpg,IMG/right_2018_07_10_15_20_37_304.jpg,0,0,0,8.94E-06
IMG/center_2018_07_10_15_20_37_373.jpg,IMG/left_2018_07_10_15_20_37_373.jpg,IMG/right_2018_07_10_15_20_37_373.jpg,0,0,0,9.09E-06
IMG/center_2018_07_10_15_20_37_442.jpg,IMG/left_2018_07_10_15_20_37_442.jpg,IMG/right_2018_07_10_15_20_37_442.jpg,0,0,0,2.14E-06
IMG/center_2018_07_10_15_20_37_511.jpg,IMG/left_2018_07_10_15_20_37_511.jpg,IMG/right_2018_07_10_15_20_37_511.jpg,0,0,0,4.41E-06
IMG/center_2018_07_10_15_20_37_580.jpg,IMG/left_2018_07_10_15_20_37_580.jpg,IMG/right_2018_07_10_15_20_37_580.jpg,0,0,0,2.71E-06
IMG/center_2018_07_10_15_20_37_649.jpg,IMG/left_2018_07_10_15_20_37_649.jpg,IMG/right_2018_07_10_15_20_37_649.jpg,0,0,0,1.35E-05
IMG/center_2018_07_10_15_20_37_718.jpg,IMG/left_2018_07_10_15_20_37_718.jpg,IMG/right_2018_07_10_15_20_37_718.jpg,0,0,0,5.50E-06
IMG/center_2018_07_10_15_20_37_786.jpg,IMG/left_2018_07_10_15_20_37_786.jpg,IMG/right_2018_07_10_15_20_37_786.jpg,0,0,0,4.11E-06
IMG/center_2018_07_10_15_20_37_855.jpg,IMG/left_2018_07_10_15_20_37_855.jpg,IMG/right_2018_07_10_15_20_37_855.jpg,0,0,0,2.71E-06
IMG/center_2018_07_10_15_20_37_923.jpg,IMG/left_2018_07_10_15_20_37_923.jpg,IMG/right_2018_07_10_15_20_37_923.jpg,0,0,0,5.96E-06
IMG/center_2018_07_10_15_20_37_992.jpg,IMG/left_2018_07_10_15_20_37_992.jpg,IMG/right_2018_07_10_15_20_37_992.jpg,0,0,0,5.75E-07
IMG/center_2018_07_10_15_20_38_061.jpg,IMG/left_2018_07_10_15_20_38_061.jpg,IMG/right_2018_07_10_15_20_38_061.jpg,0,0,0,8.70E-07
IMG/center_2018_07_10_15_20_38_129.jpg,IMG/left_2018_07_10_15_20_38_129.jpg,IMG/right_2018_07_10_15_20_38_129.jpg,0,0,0,2.12E-06
IMG/center_2018_07_10_15_20_38_199.jpg,IMG/left_2018_07_10_15_20_38_199.jpg,IMG/right_2018_07_10_15_20_38_199.jpg,0,0,0,4.35E-06
IMG/center_2018_07_10_15_20_38_268.jpg,IMG/left_2018_07_10_15_20_38_268.jpg,IMG/right_2018_07_10_15_20_38_268.jpg,0,0,0,4.43E-06
IMG/center_2018_07_10_15_20_38_336.jpg,IMG/left_2018_07_10_15_20_38_336.jpg,IMG/right_2018_07_10_15_20_38_336.jpg,0,0,0,3.37E-06
IMG/center_2018_07_10_15_20_38_404.jpg,IMG/left_2018_07_10_15_20_38_404.jpg,IMG/right_2018_07_10_15_20_38_404.jpg,0,0,0,1.74E-06
IMG/center_2018_07_10_15_20_38_473.jpg,IMG/left_2018_07_10_15_20_38_473.jpg,IMG/right_2018_07_10_15_20_38_473.jpg,0,0,0,2.38E-06
IMG/center_2018_07_10_15_20_38_543.jpg,IMG/left_2018_07_10_15_20_38_543.jpg,IMG/right_2018_07_10_15_20_38_543.jpg,0,0,0,5.65E-07
IMG/center_2018_07_10_15_20_38_609.jpg,IMG/left_2018_07_10_15_20_38_609.jpg,IMG/right_2018_07_10_15_20_38_609.jpg,0,0,0,1.05E-06
IMG/center_2018_07_10_15_20_38_678.jpg,IMG/left_2018_07_10_15_20_38_678.jpg,IMG/right_2018_07_10_15_20_38_678.jpg,0,0,0,2.02E-06
IMG/center_2018_07_10_15_20_38_748.jpg,IMG/left_2018_07_10_15_20_38_748.jpg,IMG/right_2018_07_10_15_20_38_748.jpg,0,0,0,5.42E-07
IMG/center_2018_07_10_15_20_38_817.jpg,IMG/left_2018_07_10_15_20_38_817.jpg,IMG/right_2018_07_10_15_20_38_817.jpg,0,0,0,9.95E-07
IMG/center_2018_07_10_15_20_38_886.jpg,IMG/left_2018_07_10_15_20_38_886.jpg,IMG/right_2018_07_10_15_20_38_886.jpg,0,0,0,8.38E-06
IMG/center_2018_07_10_15_20_38_954.jpg,IMG/left_2018_07_10_15_20_38_954.jpg,IMG/right_2018_07_10_15_20_38_954.jpg,0,0,0,3.61E-06
IMG/center_2018_07_10_15_20_39_022.jpg,IMG/left_2018_07_10_15_20_39_022.jpg,IMG/right_2018_07_10_15_20_39_022.jpg,0,0,0,2.00E-05
IMG/center_2018_07_10_15_20_39_091.jpg,IMG/left_2018_07_10_15_20_39_091.jpg,IMG/right_2018_07_10_15_20_39_091.jpg,0,0,0,1.80E-06
IMG/center_2018_07_10_15_20_39_159.jpg,IMG/left_2018_07_10_15_20_39_159.jpg,IMG/right_2018_07_10_15_20_39_159.jpg,0,0,0,1.13E-06
IMG/center_2018_07_10_15_20_39_227.jpg,IMG/left_2018_07_10_15_20_39_227.jpg,IMG/right_2018_07_10_15_20_39_227.jpg,0,0,0,8.41E-06
IMG/center_2018_07_10_15_20_39_296.jpg,IMG/left_2018_07_10_15_20_39_296.jpg,IMG/right_2018_07_10_15_20_39_296.jpg,0,0,0,1.95E-06
IMG/center_2018_07_10_15_20_39_363.jpg,IMG/left_2018_07_10_15_20_39_363.jpg,IMG/right_2018_07_10_15_20_39_363.jpg,0,0,0,4.32E-06
IMG/center_2018_07_10_15_20_39_431.jpg,IMG/left_2018_07_10_15_20_39_431.jpg,IMG/right_2018_07_10_15_20_39_431.jpg,0,0,0,1.12E-06
